Fecha Publicación,OP,Entidad,Dispositivo,Número,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366836-1,PRODUCE,RESOLUCION,N° 000013-2025-ITP/DE,Designan temporalmente a servidores en el cargo de Director del Centro de Innovación Productiva y Transferencia Tecnológica Agroindustrial Majes – CITEagroindustrial Majes,https://busquedas.elperuano.pe/dispositivo/NL/2366836-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366376-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,N° 0055-2025-RE,Autorizan viaje de funcionarias diplomáticas a Costa Rica en comisión de servicios,https://busquedas.elperuano.pe/dispositivo/NL/2366376-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366372-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,N° 0052-2025-RE,Designan Representantes titular y alterno del Ministerio en la Comisión Binacional para la Gestión Integrada de los Recursos Hídricos de las Cuencas Hidrográficas Transfronterizas entre la República del Perú y la República del Ecuador,https://busquedas.elperuano.pe/dispositivo/NL/2366372-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366373-1,RELACIONES EXTERIORES,RESOLUCION MINISTERIAL,N° 0053-2025-RE,Designan Representantes titular y alterno en la Secretaría Técnica Binacional de la Comisión Binacional para la Gestión Integrada de los Recursos Hídricos de las Cuencas Hidrográficas Transfronterizas entre la República del Perú y la República del Ecuador,https://busquedas.elperuano.pe/dispositivo/NL/2366373-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366827-1,SALUD,RESOLUCION MINISTERIAL,N° 059-2025/MINSA,Aprueban Documento Técnico: Plan de prevención y control del dengue para el año 2025,https://busquedas.elperuano.pe/dispositivo/NL/2366827-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2366830-1,SALUD,RESOLUCION MINISTERIAL,N° 060-2025/MINSA,Aprueban el Documento Técnico Plan Nacional de Vacunación contra el Virus del Papiloma Humano para el Año Fiscal 2025,https://busquedas.elperuano.pe/dispositivo/NL/2366830-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367220-1,SALUD,RESOLUCION MINISTERIAL,N° 064-2025/MINSA,Aprueban Plan Estratégico Institucional (PEI) 2025 – 2030 del Ministerio de Salud,https://busquedas.elperuano.pe/dispositivo/NL/2367220-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367549-1,SALUD,RESOLUCION VICE MINISTERIAL,N° D000005-2025-DVMPAS-MINSA,Designan Director Adjunto de la Dirección General del Instituto Nacional de Ciencias Neurológicas,https://busquedas.elperuano.pe/dispositivo/NL/2367549-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367539-1,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",RESOLUCION MINISTERIAL,N° 038-2025-VIVIENDA,Autorizan Transferencia Financiera a favor de la Entidad Prestadora de Servicios de Saneamiento de Lambayeque S.A.,https://busquedas.elperuano.pe/dispositivo/NL/2367539-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367547-1,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",RESOLUCION MINISTERIAL,N° 039-2025-VIVIENDA,Autorizan transferencias financieras a favor de diversas empresas prestadoras de servicios de agua potable y saneamiento para financiar la distribución gratuita de agua potable mediante camiones cisterna en zonas urbanas que no cuentan con agua potable y se encuentran en condición de pobreza y pobreza extrema,https://busquedas.elperuano.pe/dispositivo/NL/2367547-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367250-1,"VIVIENDA, CONSTRUCCIÓN Y SANEAMIENTO",RESOLUCION MINISTERIAL,N° 032-2025-VIVIENDA,Autorizan Transferencia Financiera a favor de la empresa Servicio de Agua Potable y Alcantarillado de Lima - SEDAPAL,https://busquedas.elperuano.pe/dispositivo/NL/2367250-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367566-1,ARCHIVO GENERAL DE LA NACION,RESOLUCION JEFATURAL,N° 000043-2025-AGN/JEF,Aprueban el Plan Estratégico Institucional PEI 2025-2030 del Archivo General de la Nación,https://busquedas.elperuano.pe/dispositivo/NL/2367566-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367037-1,INSTITUTO NACIONAL DE RADIO Y TELEVISIÓN DEL PERÚ,RESOLUCION,N° 000006-2025-IRTP-PE,Aprueban la Sección Segunda del Reglamento de Organización y Funciones (ROF) del Instituto Nacional de Radio y Televisión del Perú - IRTP,https://busquedas.elperuano.pe/dispositivo/NL/2367037-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367451-1,INTENDENCIA NACIONAL DE BOMBEROS DEL PERU,RESOLUCION,N° 008-2025-INBP,Designan Jefe de la Oficina de Planificación y Presupuesto y Subdirectora de la Subdirección de Gestión de Infraestructura y Equipamiento de la Intendencia Nacional de Bomberos del Perú,https://busquedas.elperuano.pe/dispositivo/NL/2367451-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367041-1,ORGANISMO SUPERVISOR DE LA INVERSIÓN EN ENERGÍA Y MINERÍA,FE DE ERRATA,Res. N° 004-2025-OS/GRT,FE DE ERRATA,https://busquedas.elperuano.pe/dispositivo/NL/2367041-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
